state,year,funds_central_share,funds_release_amount,funds_state_allocation,funds_total_including_tpf
Andhra Pradesh,2011,,,,154.406
Andhra Pradesh,2012,,,,404.8904
Andhra Pradesh,2013,,,211.78,211.7804
Andhra Pradesh,2014,,,184.14,184.141
Andhra Pradesh,2015,,,0.0,0.0
Andhra Pradesh,2018,217.992,,,
Andhra Pradesh,2019,114.48,,,
Andhra Pradesh,2020,266.51,,,
Arunachal Pradesh,2011,,,,236.7857
Arunachal Pradesh,2012,,,,420.0872
Arunachal Pradesh,2013,,,,737.0405000000001
Arunachal Pradesh,2014,,,,658.4259999999999
Arunachal Pradesh,2015,,,,429.539
Arunachal Pradesh,2018,929.762,,,
Arunachal Pradesh,2019,846.31,,,
Arunachal Pradesh,2020,803.76,,,
Assam,2011,,,,947.5088000000001
Assam,2012,,,,373.894
Assam,2013,,,,807.9825
Assam,2014,,,,1509.389
Assam,2015,,,,1425.413
Assam,2018,1919.624,,,
Assam,2019,2198.76,,,
Assam,2020,2513.9,,,
Bihar,2011,,,,172.193
Bihar,2012,,,,311.064
Bihar,2013,,,,284.773
Bihar,2014,,,,317.096
Bihar,2015,,,,223.55051
Bihar,2018,570.897,,,
Bihar,2019,562.84,,,
Bihar,2020,628.89,,,
Chhattisgarh,2011,,,,702.726
Chhattisgarh,2012,,,,532.4624
Chhattisgarh,2013,,,,539.6379999999999
Chhattisgarh,2014,,,,609.827
Chhattisgarh,2015,,,,398.945
Chhattisgarh,2018,536.135,,,
Chhattisgarh,2019,358.53,,,
Chhattisgarh,2020,471.15999999999997,,,
Jharkhand,2011,,,,156.3465
Jharkhand,2012,,,,107.44023
Jharkhand,2013,,,,251.168
Jharkhand,2014,,,,199.08
Jharkhand,2015,,,,47.9847
Jharkhand,2018,367.0,,,
Jharkhand,2019,1432.07,,,
Jharkhand,2020,128.453,,,
Karnataka,2011,,,,1830.6496000000002
Karnataka,2012,,,,933.5311
Karnataka,2013,,,,1985.0698
Karnataka,2014,,,,1565.7726
Karnataka,2015,,,,1378.1943999999999
Karnataka,2018,2267.428,,,
Karnataka,2019,2252.03,,,
Karnataka,2020,2118.005,,,
Kerala,2011,,,,429.77
Kerala,2012,,,,514.835
Kerala,2013,,,,479.672
Kerala,2014,,,,517.5351
Kerala,2015,,,,396.601
Kerala,2018,653.03,,,
Kerala,2019,607.0699999999999,,,
Kerala,2020,402.88,,,
Madhya Pradesh,2011,,,,5162.7112
Madhya Pradesh,2012,,,,5772.3638
Madhya Pradesh,2013,,,,4796.138
Madhya Pradesh,2014,,,,4335.1182
Madhya Pradesh,2015,,,,1421.007
Madhya Pradesh,2018,5343.889999999999,,,
Madhya Pradesh,2019,3501.91,,,
Madhya Pradesh,2020,2551.26,,,
Maharashtra,2011,,,,3341.5235
Maharashtra,2012,,,,616.3911499999999
Maharashtra,2013,,,,3021.6922999999997
Maharashtra,2014,,,,3078.9788
Maharashtra,2015,,,,3558.7655
Maharashtra,2018,10322.75,,,
Maharashtra,2019,6318.36,,,
Maharashtra,2020,2436.84,,,
Mizoram,2011,,,,225.288
Mizoram,2012,,,,468.31
Mizoram,2013,,,,233.68
Mizoram,2014,,,,232.1896
Mizoram,2015,,,,187.9845
Mizoram,2018,318.842,,,
Mizoram,2019,337.7,,,
Mizoram,2020,161.53,,,
Nagaland,2018,24.8625,,,
Nagaland,2019,0.0,,,
Nagaland,2020,0.0,,,
Odisha,2011,,,,555.0761
Odisha,2012,,,,163.756
Odisha,2013,,,,748.193
Odisha,2014,,,,707.3885
Odisha,2015,,,,544.80052
Odisha,2018,1022.322,,,
Odisha,2019,1303.32,,,
Odisha,2020,680.0699999999999,,,
Rajasthan,2011,,,,67.21
Rajasthan,2012,,,,4090.567
Rajasthan,2013,,,,512.848
Rajasthan,2014,,,,627.192
Rajasthan,2015,,,,1257.808
Rajasthan,2018,791.8299999999999,276.69,,
Rajasthan,2019,1203.19,368.5,,
Rajasthan,2020,1008.8899999999999,262.28,,
Tamil Nadu,2011,,,,605.9639999999999
Tamil Nadu,2012,,,,445.983
Tamil Nadu,2013,,,,753.675
Tamil Nadu,2014,,,,864.316
Tamil Nadu,2015,,,,1950.17128
Tamil Nadu,2018,2366.823,,,
Tamil Nadu,2019,1586.91,,,
Tamil Nadu,2020,1336.1399999999999,,,
Telangana,2011,,,,0.0
Telangana,2012,,,,0.0
Telangana,2013,,,,0.0
Telangana,2014,,,,0.0
Telangana,2015,,,,86.0144
Telangana,2018,1115.65,,,
Telangana,2019,444.95000000000005,,,
Telangana,2020,351.96999999999997,,,
Uttar Pradesh,2011,,,,446.1258
Uttar Pradesh,2012,,,,334.055
Uttar Pradesh,2013,,,,525.876
Uttar Pradesh,2014,,,,760.9283
Uttar Pradesh,2015,,,,624.5463
Uttar Pradesh,2018,685.336,,,
Uttar Pradesh,2019,1242.49,,,
Uttar Pradesh,2020,923.29,,,
Uttarakhand,2011,,,,399.76
Uttarakhand,2012,,,,160.69
Uttarakhand,2013,,,,377.689
Uttarakhand,2014,,,,391.1941
Uttarakhand,2015,,,,683.9853800000001
Uttarakhand,2018,1417.26,,,
Uttarakhand,2019,2289.1800000000003,,,
Uttarakhand,2020,1671.3,,,
West Bengal,2011,,,,157.66
West Bengal,2012,,,,404.916
West Bengal,2013,,,,347.81
West Bengal,2014,,,,596.8825
West Bengal,2015,,,,376.50781
West Bengal,2018,719.01,,,
West Bengal,2019,758.47,,,
West Bengal,2020,333.96,,,
